Name,,Type,,CP Change,,Active,,Chained,,Description,,Notes
Alien - You Can Squanch Wherever You Like,,1,,-1000,,True,,True,,You find that people either accept or ignore your bizarre behaviour, otherworldly possessions and overtly alien appearance.,,
Alien - Gazorpian Strength,,1,,-2000,,True,,True,,You are obscenely strong, capable of lifting and throwing cars due to the presence of alien DNA in your body.,,
Alien - Pluto is a Planet,,1,,-4000,,True,,True,,You are able to convince society as a whole of pretty much anything that is vaguely flattering to it. Any scientific data or argument that opposes this stance will meet overwhelming resistance from the rest of the population.,,
Alien - Parasite,,1,,-6000,,True,,True,,You can implant yourself into the memories of others and thereby establish yourself as a wacky character they’ve known their whole life.%%%%You may only implant pleasant memories but you may implant an array of memories into several people at once.,,
Morty - Get Your Shit Together,,1,,-1000,,True,,True,,You find that (occasionally) your words have a real weight to them.%%%%While this is far more effective when used sparingly you find that you can keep your incredibly dysfunctional family together or even drastically change the course of action of an amoral, egotistical genius with a short speech.,,
Morty - Hidden Wavelength,,1,,-2000,,True,,True,,You only show up on sensors when you choose to and you find that you can easily masquerade as an innocuous and ordinary child while under even the most intense scrutiny.,,
Morty - The Mortyest Morty,,1,,-4000,,True,,True,,Those you designate will be at their absolute best when you’re around.%%%%While the effect diminishes the more people you apply this to and they will not be able to do anything that is not possible they will find themselves at their smartest, strongest and all around most competent with you in tow.,,
Morty - Born Sidekick,,1,,-6000,,True,,True,,For reasons that are not entirely clear powerful people tend to prize you as a sidekick. This means that you can more or less become a sidekick to anyone if you should so desire.,,
Rick - Focus on Science,,1,,-1000,,True,,True,,You are capable of redirecting your energies to useful endeavours. You are the master of your rage, excitement and libido and can use them to fuel and expedite your plans, particularly those of a scientific nature.,,
Rick - Robotics,,1,,-2000,,True,,True,,You have spectacular ability in the fields of engineering and most notably robotics and find that making a robot to pass the butter at the breakfast table is a viable alternative to getting up.,,
Rick - Mad Geneticist,,1,,-4000,,True,,True,,Sometimes science is more art than science and you find that this is doubly true when it comes to genetics. When you have a vague idea of the attributes you want to impart from a species you find them remarkably easy to splice into a different species. It won’t even backfire that often. Probably. Be careful.,,
Rick - Genius,,1,,-6000,,True,,True,,You may not be the Rickest of Ricks but you are the smartest person in your own universe. Your capacity for invention is mind- boggling and even highly advanced alien civilizations barely hold a candle to you.,,
Personal Space,,1,,-500,,True,,True,,Let’s get some stepped up personal space up in this place. People know when to stay out of your personal space, keep away from your personal space, get outta your personal space and stay away from your personal space when you wish them to.,,
Wubalubadubdub,,1,,-500,,True,,True,,You have a penchant for catchphrases and can come up with instantly. Most of them are weird and made-up sounding but you deliver them with such panache that they tend to get whatever effect you were going for.,,
BITCH!,,1,,-1000,,True,,True,,You find that the things you say do not lose impact due to repetition. Whether scary, funny or deeply depressing whatever you say will retain this value even if someone has heard it before.,,
Get Schwifty,,1,,-1000,,False,,True,,You can come up with a spur of the moment pop song as long as there’s somebody there to give you a beat. These songs will be more successful than they have any right to be.,,
What’s Up My Glip Glops?!,,1,,-1000,,True,,True,,Offensive terms you create spread extremely quickly and are generally as offensive as you wish them to be. You also find that people always understand your intent and will take an affectionate slur with good humour.,,
They’re Just Good Guys,,1,,-2000,,True,,True,,You find that large scary monsters (or their local equivalent) will sometimes come to your aid when you are in trouble, resolve your problem to the best of their abilities, give a thumbs up (or local equivalent) and then leave.,,
A Small Price to Pay for Spider Peace,,1,,-2000,,True,,True,,You are talented at finding creative and outlandish solutions to problems and find that when doing so things are a little more likely to work out in your favour.,,
X Gon’ Give It To Ya,,1,,-3000,,True,,True,,When wronged or treated dishonourably you have the ability to begin a montage. During this montage you will condense the training and planning required to get a satisfying revenge into an unnaturally short amount of time. You also find the repercussions of whatever acts your revenge required are relatively minor.,,
Portal Gun,,2,,-6000,,True,,True,,You have come into the possession of a gun allowing you for free travelling throughout the multiverse and the knowledge of how to use it. Shooting it at a surface allows you to create a portal both to other places in the universe you are in and to places in parallel universes.%%%%For 600 CP the gun will continue to work in other multiverses although mapping out other local multiverses is time consuming, dangerous and (depending on the local metaphysics) sometimes not possible.,,
Interdimensional Goggles,,2,,-1000,,True,,True,,Goggles that allow the wearer to see through the eyes of versions of themselves from alternative universes. Observing more successful versions of yourself may lead to obsession and moping.%%%%You may choose this OR Interdimensional Cable for free.,,
Interdimensional Cable,,2,,00,,True,,True,,A receiver that you can attach to any monitor that allows you to watch the television from parallel universes. TV from other dimensions has a somewhat looser feel to it.%%%%You may choose this OR Interdimensional Goggles for free.,,
Grappling Shoes,,2,,-500,,True,,True,,A pair of boots that allow the wearer to walk on surfaces of any gradient. Helps if you turn them on.%%%%You can basically just walk on surface you want, up, down, below, turn around to the left, these things really bring it all together.,,
Laser Gun Armoury,,2,,-500,,True,,True,,A cabinet full of advanced laser weapons.%%%%Perfect for dispatching robots, bureaucrats and people you don’t respect.,,
Plumbus,,2,,-1000,,False,,True,,A high quality plumbus and a video about how they are made.,,
Flask,,2,,-1000,,False,,True,,A hip flask that never seems to run out of liquor.%%%%The liquor in it is invariably strong but otherwise seems to change from ordinary spirits from Earth to more peculiar alien beverages.,,
Concentrated Dark Matter,,2,,-1000,,True,,True,,The recipe to concentrated dark matter, the most powerful fuel in the universe. You can create it out of reasonably common components.,,
Roy: A Life Well Lived,,2,,-1000,,False,,True,,An advanced virtual reality game in which you play through the entire life of a man called Roy. You experience his whole life but the game itself takes a matter of minutes to the outside world.,,
Ice Cream Machine,,2,,-1000,,True,,True,,An ice cream machine that produces a truly vast amount of flavours of the highest quality ice cream in the multiverse.%%%%It also comes with a button labelled worms which does exactly what you’d expect. Worm ice cream is extremely popular with spiders.,,
Particle Beam Wristwatch,,2,,-1000,,True,,True,,A wristwatch with a particle beam capable of disintegrating people.%%%%Comes with a snake-holster that never seems to run out of snakes for the classic ‘beam that turns people into snakes’ bit.,,
Meeseeks Box,,2,,-1000,,True,,True,,A box that summons/creates blue humanoid creatures named Mr. Meeseeks. Meeseeks will try their hardest to complete whatever objective you have in mind for them. It’s best to make sure this objective is reasonably easy to achieve however or they may get... upset.,,
Neutrino Bomb,,2,,-2000,,True,,True,,A bomb capable of wiping out all life on a planet. Good for a fresh start.,,
Microverse Battery,,2,,-2000,,True,,True,,A battery with a miniature universe in it.%%%%Produces an endless amount of energy due to the inhabitants having been tricked into using devices that allow you to siphon a proportion of theirs off.,,
Dream Device,,2,,-2000,,True,,True,,A device that allows you to enter the dreams of other people.%%%%Follows Inception rules and if that doesn’t make sense neither does everybody's favourite movie.,,
Chris,,2,,-2000,,False,,True,,A sluglike weapon that can turn someone into a third trimester fetus at 30 yards.,,
Curse Purge Plus!,,2,,-2000,,True,,True,,Discount Drop In%%%%Have you acquired creepy specific old stuff from a mysterious antique or thrift store that gives you powers, but fucks with you in unforeseeable ways?%%%%Well this device removes curses.,,
Simulation Machine,,2,,-2000,,True,,True,,Discount Alien%%%%A machine that can produce incredibly realistic simulations. Although extremely powerful, enough moving parts in the simulation will cause sections of it to run on lower settings, become less convincing and, in extreme cases, crash.,,
Power Suit,,2,,-2000,,True,,True,,Discount - Morty%%%%A suit of power armour more than capable of allowing you to both survive and thrive on a purge planet. The suit will fly to your location from wherever it is when you need it.%%%%This will usually take a few minutes (regardless of distance).,,
Project Pheonix,,2,,-2000,,False,,True,,Discount Rick%%%%A few tubes with dormant clones of yours of different ages. You can transfer your consciousness into any of these clones to effectively change your age. A change in age can result in a change in personality.,,
Freeze Ray,,2,,-2000,,True,,True,,A ray that can freeze objects and people solid. Comes with a setting that allows you to safely thaw them.%%%%Warning: Frozen things can shatter if struck. Accidents may occur if left unattended.,,
Alien Translation Device,,2,,-2000,,True,,True,,A device that when pushed to your throat translates your speech and allows you the understanding of foreign/alien languages.,,
Clock Staff,,2,,-3000,,True,,True,,Discount Drop In%%%%A staff that allows you to increase and decrease the speed at which time elapses in bubbles (maximum size with a diameter of 10 metres). You can slow things to a 10th and speed them up by x10 normal speed.%%%%Will need to recharge if used too often.,,
Squanch Juice,,2,,-3000,,False,,True,,Discount Alien%%%%A recipe and large vat of liquid that causes beings that imbibe it to massively increase in size, grow intensely muscular, vastly increase in strength and endurance but lose some capacity for reason.,,
Cognition Amplifiers,,2,,-3000,,True,,True,,Discount Morty%%%%A helmet that increases the intellectual abilities of the wearer. The extent to which they are made more intelligent depends on how many batteries you put in. Can make things a great deal more intelligent than your average human.,,
Spaceship,,2,,-3000,,True,,True,,Discount Rick%%%%A spaceship built out of stuff found in a garage.%%%%Capable of FTL travel with the right fuel.%%%%You may choose the design but it will look distinctly ramshackle. You may import a vehicle into this option.,,
Shrink / Growth Ray,,2,,-3000,,False,,True,,A ray that allows you to shrink things to around the size of human cells or increase the size of things to around the length of the US.%%%%Comes with the blueprints for a themepark named Anatomy Park to be built in a human body.,,
Fiendish Friend,,3,,-2000,,False,,True,,A scarily loyal pink/red skinned individual who will fit perfectly as a manager, lieutenant or cog in any hellish hierarchy legitimate business.%%%%You may create a new companion fitting your description or import an existing companion into this role.%%%%They come with The Devil You Know, copious amounts of Business Savvy and a malevolent glint in the eye.,,
Parasitic Pal,,3,,-2000,,False,,True,,A recent creation and all around good egg. Comes with the personality and a (potentially ridiculous) default appearance of your choice.%%%%Is, thankfully, either sterile or does not wish to destroy the world through unchecked reproduction. Comes with Parasite. Wants to see the world(s).%%%%You may import an existing companion into this role.,,
Rick,,3,,-5000,,False,,True,,Discount Morty%%%%You have acquired the Rick of your home dimension as a companion. Comes with all the perks discounted for Ricks, WUBALUBADUBDUB and Get Schwifty. A brilliant but abrasive, alcoholic and dysfunctional individual. Alternatively you can get a Doofus Rick that lacks both Genius and Mad Geneticist for 200 CP. You may import an existing companion into this role.,,
Morty,,3,,-2000,,False,,True,,Discount Rick%%%%You have acquired the Morty of your home dimension as a companion. Comes with a Hidden Wavelength that seems to hide you from people scanning for you, a weaker version of The Mortyest Morty and the tendency to curtail your more destructive/self-destructive behaviour. Tends to be 20% accurate when it comes to scientific matters.%%%%You may import an existing companion into this role.,,
Drawbacks,,4,,00,,False,,False,,You may take up to 600 CP worth of Drawbacks for extra CP.,,
Alcoholic,,4,,1000,,False,,False,,You are an alcoholic, frequently wake up with a foul taste in your mouth and a cracking headache. On the plus side you function reasonably well while at an acceptable level of drunkenness although your judgement is impaired.,,
Stutter,,4,,1000,,False,,False,,You have some social anxiety and a mild stutter. You lack confidence in social situations, particularly around those you feel attracted to.,,
Principle Vagina,,4,,1000,,False,,False,,No relation. You have an embarrassing name that you cannot shake and that everyone will know you by.,,
Parasites,,4,,2000,,False,,False,,You have a parasite problem. Increasingly wacky characters pop up and implant themselves in your memories as old friends.%%%%It is very difficult to know when this is happening and if it gets too out of hand they may take over whatever planet you’re on.,,
Gymnophobe,,4,,2000,,False,,False,,You are intensely squeamish and uncomfortable around naked people and people will frequently use this to your disadvantage.,,
Wanted Man,,4,,2000,,False,,False,,You are wanted by the Galactic Federation. Fortunately they do not currently know where you are. Unfortunately they control much of the known universe, their border creeps towards you, and they will send covert agents to find,,
Show Me What You Got,,4,,3000,,False,,False,,Giant heads immune to any weaponry will take your planet hostage and destroy it and you if you cannot win a singing contest against other planets.%%%%It doesn’t end with a singing competition, each year there will be some sort of life or death talent show.,,
The Council of Ricks,,4,,3000,,False,,False,,The Council of Ricks sees you as a threat to the multiverse and will stop at nothing to find and destroy you. The Council of Ricks are the Ricks from (most) universes that decided to join forces and represent the smartest people from countless dimensions.,,
Ants In Your Eyes,,4,,3000,,False,,False,,You have ants crawling around your eyes and you cannot see. You also do not feel any pain although the sensation of ants crawling around your eyes is still consistently grotesque and distracting. The ants seem to be impossible to harm.,,
Cronenberg,,4,,3000,,False,,False,,You are a giant amorphous blob of flesh and people will be frightened and deeply disturbed by you. On the plus side you now fit in on Cronenberg World.,,
